# Created by Octave 4.4.1, Sat Sep 15 21:16:31 2018 CST <s00380291@S00380291>
# name: X
# type: matrix
# rows: 20
# columns: 2
 1 3.4571874383521104
 1 4.1960930482451753
 1 4.934998658138241
 1 5.6739042680313059
 1 6.4128098779243707
 1 7.1517154878174356
 1 7.8906210977105014
 1 8.6295267076035671
 1 9.3684323174966302
 1 10.107337927389697
 1 10.84624353728276
 1 11.585149147175827
 1 12.324054757068893
 1 13.062960366961956
 1 13.801865976855023
 1 14.540771586748086
 1 15.279677196641153
 1 16.018582806534216
 1 16.757488416427282
 1 17.496394026320345


